Глаголева Вера,61,34,https://ruskino.ru/art/201
Звягинцева Галина,35,33,https://ruskino.ru/art/8789
Ардова Софья,25,32,https://ruskino.ru/art/8682
Берсенева Мария,40,32,https://ruskino.ru/art/5847
Ивченко Алена,48,32,https://ruskino.ru/art/567
Русланова Нина,76,32,https://ruskino.ru/art/155
Рязанова Раиса,77,32,https://ruskino.ru/art/1068
Ахмедова Сабина,40,31,https://ruskino.ru/art/6364
Дитковските Агния,34,31,https://ruskino.ru/art/5657
Коняшкина Марина,36,31,https://ruskino.ru/art/6319
Корикова Елена,50,31,https://ruskino.ru/art/19
Ланская Валерия,35,31,https://ruskino.ru/art/5631
Метлицкая Ирина,35,31,https://ruskino.ru/art/792
Михайловская Анна,33,31,https://ruskino.ru/art/6688
Оболдина (Стрелкова) Инга,53,31,https://ruskino.ru/art/86
Снаткина Анна,38,31,https://ruskino.ru/art/2371
Тумайкина Ольга,50,31,https://ruskino.ru/art/2805
